Company,Type,Location,Remote/Hybrid Chance,Contact Email,Careers / Apply Link,Notes for 2nd-year ML/DS Student,CV Match Score (1-10),Why it matches your CV,Source
L'Usine Nouvelle,Company,"Guyancourt, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/carbon-data-analyst-intern-m-f-at-l-usine-nouvelle-4399099175,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
ADM,Company,"Vannes, Brittany, France",Unknown,,https://fr.linkedin.com/jobs/view/r-d-intern-at-adm-4397321641,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
AEROCONTACT,Company,"Toulouse, Occitanie, France",Unknown,,https://fr.linkedin.com/jobs/view/atr-apprenticeship-geospatial-data-science-f-m-h-f-avions-de-transport-regional-atr-gie-at-aerocontact-4398508625,Good ML fit; emphasize data science background. In France — apply in French or bilingual.,2,Overlaps with your data science experience.,LinkedIn
Taktile,Company,"Berlin, Berlin, Germany",Unknown,,https://de.linkedin.com/jobs/view/software-engineer-intern-at-taktile-4342501529,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
acemate.ai,Company,"Berlin, Berlin, Germany",Unknown,,https://de.linkedin.com/jobs/view/software-developer-intern-working-student-at-acemate-ai-4399011215,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
Hey Telo (YC W25),Company,"Munich, Bavaria, Germany",Unknown,,https://de.linkedin.com/jobs/view/ai-engineer-internship-4-6-months-at-hey-telo-yc-w25-4320612577,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
Merantix Capital,Company,"Berlin, Berlin, Germany",Unknown,,https://de.linkedin.com/jobs/view/ai-engineering-intern-stealth-ai-venture-at-merantix-capital-4398488447,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
Merantix Capital,Company,"Berlin, Berlin, Germany",Unknown,,https://de.linkedin.com/jobs/view/ai-data-engineering-intern-%40briink-ai-esg-at-merantix-capital-4384031964,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
SANOVIO,Company,"Munich, Bavaria, Germany",Unknown,,https://de.linkedin.com/jobs/view/ai-engineering-intern-at-sanovio-4400873418,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
Marvel Fusion,Company,"Munich, Bavaria, Germany",Unknown,,https://de.linkedin.com/jobs/view/ai-venture-development-intern-f-m-x-at-marvel-fusion-4402705543,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
Comena,Company,"Munich, Bavaria, Germany",Unknown,,https://de.linkedin.com/jobs/view/software-engineering-intern-at-comena-4309748645,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
traide AI,Startup,"Berlin, Berlin, Germany",Unknown,,https://de.linkedin.com/jobs/view/ai-associate-f-m-x-b2b-saas-startup-intern-working-student-at-traide-ai-4399952059,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
Briink,Company,"Berlin, Berlin, Germany",Unknown,,https://de.linkedin.com/jobs/view/growth-intern-merantix-ai-campus-at-briink-4399933254,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
WaveSix,Company,"Berlin, Berlin, Germany",Unknown,,https://de.linkedin.com/jobs/view/intern-ai-strategy-consultant-at-wavesix-4384461702,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
